,Tweet,Time,User
40,"Thank you for the offer, but such excellent training would give me too much of an advantage. 

If he is afraid to fight, I will agree to use only my left hand and I am not even left-handed.

Elona",2022-03-15 20:32:20+00:00,elonmusk
41,@prosmoon 🤣,2022-03-15 20:26:46+00:00,elonmusk
42,"Telegram post by Ramzan Kadyrov, head of Chechen Republic! https://t.co/UyByR9kywq",2022-03-15 20:20:19+00:00,elonmusk
43,@Astra @SpaceflightInc Congrats!,2022-03-15 19:49:18+00:00,elonmusk
44,@Teslarati @ResidentSponge 💫 Starlink 💫,2022-03-15 18:48:31+00:00,elonmusk
45,@dogeofficialceo @EvaFoxU @Rogozin 🎯,2022-03-15 11:50:03+00:00,elonmusk
46,@EvaFoxU @Rogozin https://t.co/44fQNWBEdx,2022-03-15 11:24:42+00:00,elonmusk
47,"@Rogozin And … um … [flicks wrist] we should form a book club.

“Дура с сердцем и без ума такая же несчастная дура, как и дура с умом без сердца.”
Федор Достоевский, Идиот",2022-03-15 11:05:20+00:00,elonmusk
48,@JaneidyEve @GailAlfarATX @Rogozin Ok :),2022-03-15 04:37:19+00:00,elonmusk
49,@Rogozin He can even bring his bear,2022-03-15 02:43:00+00:00,elonmusk
50,"@Rogozin I see you are a tough negotiator!

Ok, you can have 10% more pay per view money. https://t.co/Nrbkz9IsTP",2022-03-15 01:54:14+00:00,elonmusk
51,Congratulations SpaceX team for all that you have accomplished! https://t.co/mtRWrPnGGF,2022-03-15 00:46:22+00:00,elonmusk
52,@wonderofscience One day …,2022-03-15 00:27:54+00:00,elonmusk
53,"@Tesla__Mania @jurijfedorov Yeah, I did manage to throw the world champion sumo wrestler, but at the cost of smashing a disc in my neck that caused me insane back pain for 7 years!",2022-03-14 14:38:17+00:00,elonmusk
54,@jurijfedorov Pretty much,2022-03-14 14:33:31+00:00,elonmusk
55,Вы согласны на этот бой? @KremlinRussia_E,2022-03-14 11:53:36+00:00,elonmusk
56,@KasiaKomorowicz I am absolutely serious,2022-03-14 11:46:36+00:00,elonmusk
57,@GraceRyanJess это было бы честью,2022-03-14 11:20:43+00:00,elonmusk
58,"I hereby challenge
Владимир Путин 
to single combat

Stakes are Україна",2022-03-14 11:09:22+00:00,elonmusk
59,By the pricking of my thumbs …,2022-03-14 10:47:57+00:00,elonmusk
60,There is a beauty to the biological substrate,2022-03-14 09:42:25+00:00,elonmusk
61,@crypto_birb 🤣,2022-03-14 08:46:00+00:00,elonmusk
62,@BTC_Archive 🤣,2022-03-14 08:41:28+00:00,elonmusk
63,https://t.co/Gw6xaw1u0N,2022-03-14 08:31:53+00:00,elonmusk
64,https://t.co/CfoJ3qdCRJ,2022-03-14 07:48:53+00:00,elonmusk
65,"@saylor As a general principle, for those looking for advice from this thread, it is generally better to own physical things like a home or stock in companies you think make good products, than dollars when inflation is high.

I still own &amp; won’t sell my Bitcoin, Ethereum or Doge fwiw.",2022-03-14 04:11:38+00:00,elonmusk
66,@saylor It is not entirely unpredictable that you would reach that conclusion,2022-03-14 04:00:40+00:00,elonmusk
67,@BLKMDL3 @Tesla Model S &amp; X are sublime,2022-03-14 02:39:12+00:00,elonmusk
68,And we are not alone https://t.co/1RpsIbGWMl,2022-03-14 01:48:03+00:00,elonmusk
69,Tesla &amp; SpaceX are seeing significant recent inflation pressure in raw materials &amp; logistics,2022-03-14 01:41:19+00:00,elonmusk
70,@Gfilche @profgalloway 🤣,2022-03-14 00:55:05+00:00,elonmusk
71,"@jchybow If this version performs well, we can probably lower min safety score to 95",2022-03-14 00:50:58+00:00,elonmusk
72,@Teslarati @Writer_01001101 Vector lanes is a particularly significant architectural improvement to Tesla AI,2022-03-14 00:48:43+00:00,elonmusk
73,What are your thoughts about probable inflation rate over next few years?,2022-03-13 21:39:30+00:00,elonmusk
74,"@RationalEtienne Always worth reading about the many civilizations that have risen and fallen … lessons we should take to heart. 

There is danger to a “United Earth” in that it may result in a collective fall or ossification of civilization.",2022-03-13 18:45:03+00:00,elonmusk
75,"@SirineAti @EvaFoxU The Story of Civilization, especially books 2 &amp; 11",2022-03-13 11:12:31+00:00,elonmusk
76,"@EvaFoxU Insightful analysis, ensconced in eloquent prose",2022-03-13 11:06:30+00:00,elonmusk
77,Fifteen Decisive Battles of the World,2022-03-13 11:02:24+00:00,elonmusk
78,"@RationalEtienne @archaeologyart @HardcoreHistory Cereal, but maybe I’ve been doing it wrong all this time. I know it’s bad for you, but sugared cereal is amazing.",2022-03-12 19:42:46+00:00,elonmusk
79,@PPathole @SpaceX Me encanta el mariachi!,2022-03-12 18:16:01+00:00,elonmusk
80,@archaeologyart @HardcoreHistory The Forbidden Cereal 🥣,2022-03-12 09:32:34+00:00,elonmusk
81,"@haltman Little do they know, birds aren’t real! https://t.co/mBPzUQMxRN",2022-03-11 19:41:28+00:00,elonmusk
82,@waitbutwhy What if one atom at a time in your body was switched out for another atom? There would be you with all new atoms and another you with the original atoms – Human of Theseus.,2022-03-11 00:31:09+00:00,elonmusk
83,@WholeMarsBlog @Erdayastronaut @CopSub This weekend,2022-03-10 05:44:23+00:00,elonmusk
84,"@FedorovMykhailo @OMarkarova You’re welcome. We have also sent power adapters for car cigarette lighters, solar/battery packs and generators for places where electricity is not available.",2022-03-09 21:49:49+00:00,elonmusk
85,"@PPathole @SpaceX Optimized, fully-reusable Starship is ~150t to same reference orbit as Saturn V. In expendable mode, Starship payload would be 250t to 300t.",2022-03-09 21:41:57+00:00,elonmusk
86,"@Erdayastronaut @CopSub In our experience, COPV gain/pain flattens out above 6000 psi and is &lt;1 above 10,000 psi, unless volume constrained like Dragon. 

Heating from pressurization &amp; cooling from depressurization also become major problems at very high pressure.",2022-03-09 21:36:46+00:00,elonmusk
87,"@Kristennetten @BBCScienceNews There is no direct evidence of that ad being run, but that does sum up the sales pitch. It is mind-blowing that he &amp; his crew *rowed* to a whaling station from the Antarctic!",2022-03-09 19:29:56+00:00,elonmusk
88,@EvaFoxU Very important that there be an organization tasked with regulation removal or the number of rules will grow every year until progress is completely buried by bureaucracy!,2022-03-09 19:27:00+00:00,elonmusk
89,@ashleevance Wow,2022-03-09 19:18:27+00:00,elonmusk
90,Another 48 Starlinks just reached orbit https://t.co/BLb2x69lvQ,2022-03-09 14:01:23+00:00,elonmusk
91,@BBCScienceNews Cool,2022-03-09 07:19:03+00:00,elonmusk
92,https://t.co/e3kFCmREaC,2022-03-09 06:47:17+00:00,elonmusk
93,@wintonARK @pmarca ESG should be deleted if not fixed,2022-03-08 18:26:28+00:00,elonmusk
94,@pmarca ESG rules have been twisted to insanity,2022-03-08 13:54:58+00:00,elonmusk
95,@SpaceX Another Starlink launch tomorrow,2022-03-07 20:44:40+00:00,elonmusk
96,"You are my favorite hello,
And my hardest goodbye.",2022-03-07 07:49:42+00:00,elonmusk
97,@hiromichimizuno @GailAlfarATX @Tesla @TeslaSolar @japan @vigold @SirineAti @DimaZeniuk @DogeUniversal @cb_doge @elonmuskbooks 真の友人とは、世界が離れていくときに歩みよって来てくれる人のことである。,2022-03-07 07:08:48+00:00,elonmusk
